x,y,z,label,pi
-32.08389967928869,-43.66464789888763,-54.1579162538354,yes,pi1
141.5050693070404,964.3410931598224,17.589523723751935,yes,pi1
124.4663916889556,948.115327935282,-88.19913050147672,no,pi1
-101.87785425325542,-38.299429377797935,-53.62986978944328,no,pi1
-74.4471221931668,-19.44003338291413,73.61714781544295,no,pi1
-214.55184964728844,-29.741050516646133,-52.91470735298744,no,pi1
-95.17730049574004,-32.753915671044155,-17.121209102948942,no,pi1
-22.34536252266512,974.0844958913297,1.889642949105748,yes,pi1
32.37345632040078,977.1990100148088,46.16369456511114,yes,pi1
87.29055198136533,-46.65317758743467,-18.430090426172864,no,pi1
-159.19798434031995,-12.974145790284616,74.23140500872134,no,pi1
-126.806689056181,-36.41490248785975,-53.46338372926305,no,pi1
-236.97098837827187,-7.078412398027552,74.75410487978628,no,pi1
-171.6753794806641,-33.000099957337774,-53.21325004359388,no,pi1
-97.88938504417705,-38.59121723015109,-53.65512244508534,no,pi1
-133.78615042934558,-35.89621750766547,-53.49141521158164,no,pi1
-235.4920157806004,-28.143531917685543,-52.69250004055589,no,pi1
-58.49241910064004,-20.62769212488966,73.50420224437948,no,pi1
-57.28564051019225,-35.66543004471315,-17.398581860614655,no,pi1
-161.71470584675865,-33.77021580440114,-53.27833347704775,no,pi1
53.25974179687451,966.824658608068,-7.32052374897628,yes,pi1
35.31878112326826,960.6371084303246,-65.44472997921596,yes,pi1
148.6595595226829,-21.687169856235464,161.01556520165028,yes,pi1
56.17048386893138,-29.387125451994084,72.63418220579908,no,pi1
-127.29288048076464,-15.43504481148584,73.9817732430829,no,pi1
-141.25020683412797,-14.326136592779218,74.10172957398115,no,pi1
-146.2367711508531,-13.94319518870736,74.1040000022212,no,pi1
-132.7866053598889,-35.94910132391548,-53.405169920482365,no,pi1
-116.32374157836898,-16.232179804697033,73.92894555572666,no,pi1
-211.8343987412168,-23.86903779315882,-16.269190797864866,no,pi1
40.21813340144892,-28.18806335316387,72.77624639937014,no,pi1
-100.37069121475032,-17.483892299395055,73.82276651657733,no,pi1
-166.68929032922276,-33.38677740880685,-53.24609915325098,no,pi1
-242.7446523107876,-21.54934731143841,-16.05602496781206,no,pi1
-31.08962942360693,-43.71661219687534,-54.24669291233321,no,pi1
-188.9018015687813,-25.6379943209299,-16.45007396965655,no,pi1
-214.0398227626035,-8.809190303914772,74.57507037241402,no,pi1
-137.7735486837446,-35.55837170244661,-53.36508210343067,no,pi1
-149.73899503274154,-34.63745206034022,-53.373201646110616,no,pi1
-47.03966024848705,-42.49272194802439,-54.03987800501895,no,pi1
-28.37154271298638,-37.86713302777533,-17.61088163051749,no,pi1
-212.92505055267944,-24.60608389106364,-20.89849676437941,no,pi1
-192.6136438663588,-31.42652111879413,-52.99074786085606,no,pi1
-11.185439534352875,-20.44610373242872,95.61282324623794,no,pi1
-136.05824228501845,-29.685952992826472,-16.849458850385307,no,pi1
-169.6873396118834,-33.177633948020485,-53.18982197085549,no,pi1
196.3491546030077,-26.738463839820557,152.03252528183737,yes,pi1
-79.43151620707977,-19.04594010395304,73.62183444983268,no,pi1
-160.98394848172111,-27.786283404723346,-16.65875339786005,no,pi1
25.84797914504227,-13.745316311783888,153.2671045301332,yes,pi1
-93.90177607807426,-38.92227390373368,-53.77004006738347,no,pi1
-22.59812998896057,-23.387575713798125,73.20816272130936,yes,pi1
56.3810142380548,-44.32099637838558,-18.223316150839658,no,pi1
-178.65415179307143,-32.47504849432751,-53.15958241143319,no,pi1
-201.58948240511648,-30.67765688164434,-52.99256666084003,no,pi1
-101.88011491535984,-38.32825125067873,-53.64680133744508,no,pi1
11.301861175324373,-25.972706874498,72.95879161901749,yes,pi1
-184.63794939149477,-31.986594921736582,-53.054140595795296,no,pi1
-118.82795847618776,-37.02345950896656,-53.51474166547092,no,pi1
-125.80795189688524,-36.47327443201291,-53.45578183898658,no,pi1
-150.63615056322163,-0.3394162202645998,154.5080902278722,no,pi1
-142.1576625809581,3.22398669439046,180.04570456625785,yes,pi1
-8.051869898501439,-11.124455263840211,153.4948865461338,no,pi1
-94.38820292212644,-17.93696120838291,73.7092019918369,yes,pi1
-142.13116229587342,-29.987372507602064,-21.402097713249745,no,pi1
-116.32350865263604,-16.255827737994977,73.91962801645694,no,pi1
-56.49633223208335,-20.719085463988183,73.52863995119311,yes,pi1
-60.48669823678147,-20.521172837924027,73.51016275358627,no,pi1
-165.06453669133947,-28.220749220489,-21.236814233225108,no,pi1
-142.76290392918662,-35.19429264770816,-53.372235236510505,no,pi1
-60.9989182232036,-41.42920380395114,-54.00450028532522,no,pi1
56.80865161593711,-7.302689443078307,206.25785445828424,yes,pi1
6.8043928519192525,-46.54969102890355,-54.487391138039726,no,pi1
-72.24426093534173,-34.54521354651984,-17.29730690166491,no,pi1
-102.91946974488285,-13.509290129359494,96.2540699884181,yes,pi1
