x,y,z,label,pi
-38.11202081077081,-18.501095721725925,95.85146623977744,yes,pi1
-140.1375720653913,-30.118654651409784,-21.42351355439676,no,pi1
-186.11951378204355,-10.943092036312375,74.4448023816882,no,pi1
-142.75960172627146,-35.20268051848685,-53.4157143448201,no,pi1
21.482555174201934,-41.68935691924968,-17.979853098469626,no,pi1
-64.47523473419783,-20.196415351647868,73.54530987394999,no,pi1
-2.1883116743151465,-12.655701441661538,147.51795363468048,yes,pi1
-250.9339033585764,-5.979342088177398,74.86558946422468,no,pi1
-93.9024312572114,-38.92484670704548,-53.76893079938158,no,pi1
-37.06847570023518,-43.25497565072588,-54.10081260017835,no,pi1
-245.94853010708164,-6.394899093641364,74.83340489197982,no,pi1
-225.51884410843,-28.900991750295315,-52.75668003353789,no,pi1
-50.308315553686406,-36.20796780201816,-17.451686765815744,no,pi1
-172.6700737871881,-32.915467940551586,-53.1252123829313,no,pi1
-219.8128913434453,-23.30160008587013,-16.236103373735567,no,pi1
-152.21928746677935,-13.523742591011366,74.14293117517143,yes,pi1
-150.63566449958327,-0.3467831322456323,154.53762837488338,no,pi1
-10.633139623800345,-24.323958900290325,73.11473611571108,no,pi1
-191.61596675662483,-31.45674209585287,-52.98716861165771,no,pi1
-97.8926690547996,-38.63014929721966,-53.75172971098534,no,pi1
-88.95758020896058,-14.608763119963696,96.2544293473764,no,pi1
-135.06010843275124,-29.744358383101037,-16.83708713486572,no,pi1
-174.1544728302789,-11.81835449741949,74.34016660695775,no,pi1
-144.03328047941224,-29.070458592124066,-16.771355747812795,no,pi1
-38.55088733172189,-22.16518721531484,73.35471703422027,no,pi1
-126.80783446350624,-36.44558320952424,-53.46204921421022,no,pi1
-88.1968338665828,-33.317980483476674,-17.169666451408247,no,pi1
-148.74350584502,-34.75748766395713,-53.38583989555202,no,pi1
155.32604225021217,-33.1881031677491,94.38959366143536,no,pi1
-151.74574399328054,-34.53426146888033,-53.35008257301282,no,pi1
-50.307320861136674,-36.20752265831131,-17.446580019570835,no,pi1
-146.2369962733981,-13.981988579312375,74.09695743122019,no,pi1
-98.37650151330314,-17.61311976437377,73.75613119204277,no,pi1
-137.14521469501665,-30.371365083585367,-21.443628685735234,no,pi1
-32.12596714150787,-18.917229889282737,95.73517995209806,no,pi1
-148.78395095596346,-10.051373212146224,96.68464556594992,no,pi1
-202.58750287755325,-30.63082040069139,-52.92623044459537,no,pi1
-176.94308118473452,-26.568738099862628,-16.57688137058535,no,pi1
-122.8169715499664,-36.735390469926415,-53.48509899968055,no,pi1
-198.9687937010347,-25.6750816284154,-21.023771553385508,no,pi1
-139.7671072265245,-35.410815471808284,-53.43629542225635,no,pi1
-51.02678521092975,-42.22759771032369,-54.007230502346445,no,pi1
-96.93734428647625,-13.997978621277149,96.20469822624948,yes,pi1
-155.72158908591197,-34.21818503062986,-53.3231333903069,no,pi1
-149.73827437157965,-34.672760588870936,-53.28788861481688,no,pi1
-81.93585837242472,-39.8502478759678,-53.78554042508368,no,pi1
-156.20827101010252,-13.225026712307915,74.17103810475489,no,pi1
-179.6922473867107,-7.656364692942605,96.9292329684115,no,pi1
-156.0059737426439,-28.147106270911,-16.730725677563875,no,pi1
12.390264901602842,-8.602023240535361,178.93617713495271,yes,pi1
-235.4870576091793,-28.12867521121232,-52.66422063965305,no,pi1
17.043785526431876,-11.707838891692282,161.99500913018483,no,pi1
-47.03966024848705,-42.49272194802439,-54.03987800501895,no,pi1
-120.83000538936692,-36.86278079729224,-53.54001765797055,no,pi1
-169.6807131430805,-33.144714342018894,-53.21936432643542,no,pi1
-207.0579582777941,-9.35436150495614,74.57106178459624,no,pi1
-62.39351567356687,-2.8502341146887225,179.46412859944044,no,pi1
-152.01143546233442,-28.488568123271214,-16.724703344581417,no,pi1
-149.78043589438553,-9.930380519310956,96.59617418389324,no,pi1
-82.30627263352736,-34.5260543807947,-21.83210360559783,no,pi1
28.4625223647318,-42.17203181487858,-18.012171810229205,no,pi1
-81.30889983963694,-34.62319842700703,-21.837185849747534,no,pi1
45.199062383615136,-28.57459365818967,72.70739245867489,no,pi1
-142.75847311221614,-35.21020403135192,-53.33845933305626,no,pi1
-213.92063371706112,-24.525406831135765,-20.88929582062256,no,pi1
-242.957091026488,-6.622178222240032,74.80922391557141,no,pi1
-6.4362279958076885,-39.54721241164578,-17.760269472776507,no,pi1
199.3421463121501,-26.954380441353543,152.02630217259835,yes,pi1
-209.05326814928796,-9.194019573012865,74.58884823266641,no,pi1
-191.61619113709577,-31.476961604383263,-53.06373411528753,no,pi1
-118.111018194817,-31.039029763142608,-16.973021595984978,no,pi1
-53.02251635078734,-42.06950944505109,-54.00882848567471,no,pi1
37.227476579288215,-27.951057704382155,72.77125547097963,no,pi1
-149.0184157827369,-28.687493731977053,-16.736606103710336,no,pi1
-83.929999967087,-39.69097313496119,-53.76206713010417,no,pi1
-132.7897517195258,-35.98914459104002,-53.42413944867646,no,pi1
-134.78235822780098,-35.80956122439314,-53.39104520827612,no,pi1
-79.22238301589528,-34.01994762322433,-17.244264998531957,no,pi1
-135.7800245996943,-35.73823723529876,-53.39701826391337,no,pi1
-36.34819998763085,-37.26581737317527,-17.555960648661827,no,pi1
-214.82567094832,-23.66074788994669,-16.255248755448584,no,pi1
-169.7211302414385,-8.395274422836959,96.85053740403512,no,pi1
30.387598932053084,966.8088192941248,19.400576710716265,yes,pi1
-19.489002432378133,-39.345283435089335,-22.29447908150097,no,pi1
-136.14896746593683,-30.464747644863163,-21.459195307784217,no,pi1
-14.863116525612886,-9.281444708557778,162.2933513199838,yes,pi1
-137.7779209078255,-35.574883931787106,-53.47596916137676,no,pi1
-67.97685503982227,-40.85422610370826,-53.94704804081378,no,pi1
-161.7064760210342,-33.79937134186279,-53.21899106735609,no,pi1
-166.69075245374032,-33.38323136378844,-53.247970708752696,no,pi1
-79.31618749712187,-34.77817792996707,-21.86526807504573,no,pi1
-5.161816351452302,-45.707693904438685,-54.338641868401055,no,pi1
-8.051869898501439,-11.124455263840211,153.4948865461338,no,pi1
-167.964442851141,-27.26455417741657,-16.606993604124078,no,pi1
41.301498323572105,960.1427840643812,-65.38346820272551,yes,pi1
22.4796979541232,-41.74496696329375,-17.97110102053502,no,pi1
-215.03420113381256,-8.703055649029345,74.60003656329668,no,pi1
-197.9677589045722,-25.757690433617014,-21.00167184592804,no,pi1
-174.0370897282755,-27.57658393590622,-21.181031573434893,no,pi1
18.767068305832904,-47.501308744786535,-54.51857360116421,no,pi1
-43.05125611646126,-42.81114922902565,-54.06815383349528,no,pi1
-208.5744083551045,-30.20185598206104,-52.91670825100497,no,pi1
-89.91953078020792,-39.23037323467271,-53.76576344933986,no,pi1
-65.3569015577787,-35.85130713928568,-21.965188265005917,no,pi1
-157.20807983699987,-13.13440814686948,74.1904290818805,no,pi1
-112.8881547328189,-12.702309604397028,96.34724764275772,no,pi1
-84.30087371960464,-34.404663309329464,-21.831091417722767,no,pi1
-170.6776876771154,-33.08663944911982,-53.21767309893955,no,pi1
-125.80770844442686,-36.48656630956234,-53.46000730002441,no,pi1
-109.34317314015836,-16.732697675423307,73.84873416369717,yes,pi1
-77.8505098066805,-5.9017004904033525,154.00546110797455,no,pi1
-107.90137498322711,-13.109930915935768,96.40911756606668,no,pi1
15.290717689787462,-26.290016350213488,72.96833836983625,no,pi1
-84.96880383010635,-14.81260380492408,96.14080273097832,no,pi1
-204.94687352406055,-25.178729613728446,-20.94304967539511,no,pi1
-113.33419245928796,-16.486659501056895,73.88923560606354,no,pi1
-160.7488146245616,-9.129086014882152,96.66833100685004,no,pi1
-142.48885400437473,0.4515599682061887,163.15625231418423,yes,pi1
-69.25157940006297,-34.770324103908784,-17.313992287540003,no,pi1
-197.87698436592268,-24.976331982267936,-16.395389828433633,no,pi1
39.4298532883061,-43.0504606148076,-18.106607271776625,no,pi1
69.04140324418967,971.3706224094832,46.370513424932746,yes,pi1
-136.265737954245,-14.725357184596474,74.0613721723414,no,pi1
-15.1340543542006,-44.924626158763445,-54.3421699182557,no,pi1
-109.58507646522692,-2.045771746776391,162.9259969042296,yes,pi1
-126.8058943824558,-36.384086222285546,-53.52184541398221,no,pi1
-49.03373949799447,-42.321234399402094,-54.10484283193922,no,pi1
-84.92757882974603,-39.57177885595969,-53.74672641742372,no,pi1
-76.95474759718131,-40.19023047043134,-53.82376262875027,no,pi1
-173.04053221960964,-27.608139557609334,-21.17611180905192,no,pi1
-95.17701321313277,-32.80164204861796,-17.132848836130837,no,pi1
-30.364948972457643,-37.72262569982424,-17.59390292420713,no,pi1
-202.5867355464808,-30.624771703718253,-53.0026316713251,no,pi1
-146.7919909794775,-10.201548456310858,96.66701874440407,no,pi1
31.71750433160897,972.8402295500572,1.0964890394991762,yes,pi1
22.268212603511515,-26.815773339466933,72.89469713167611,no,pi1
11.513016367237652,-40.91276640824941,-17.898528782127126,no,pi1
-102.87781280047189,-38.21794468743376,-53.72403843372231,no,pi1
29.69299295749912,-23.636710913592463,95.284594004084,yes,pi1
-147.74344016416896,-34.80497582068561,-53.29181589700752,no,pi1
-139.76746592234207,-35.38943815317721,-53.42527320826,no,pi1
-166.68758562788588,-33.36970061260448,-53.16564773660646,no,pi1
-185.90966829950557,-25.860254736167185,-16.466683263669744,no,pi1
-1.3566557174719849,973.9929533263318,-7.394618971788742,yes,pi1
-103.87221721248233,-38.138269993760176,-53.61913424929899,no,pi1
