x,y,z,label,pi
-154.00553910286408,-28.27908610858086,-16.696281198152185,no,pi1
-45.53093913650215,-21.64844297107524,73.40049982281353,no,pi1
-171.6753794806641,-33.000099957337774,-53.21325004359388,no,pi1
-156.7212479020492,-34.124547275430324,-53.26126515686361,no,pi1
-14.620066182805472,-24.000490607393264,73.18334079613555,no,pi1
-63.26908479714992,-35.205588580764605,-17.351192543409756,no,pi1
-145.74953844303027,-34.953329146591855,-53.30369557540907,no,pi1
-169.67949309960582,-33.14384059308677,-53.13496762708319,no,pi1
-15.619897955245865,-23.91518145627009,73.18465708935598,no,pi1
-78.43703934492241,-19.14760558376276,73.62942810619421,no,pi1
273.269499050572,956.243343154026,16.36452971405468,yes,pi1
-138.25987018483528,-14.539351412189976,74.04989969118037,no,pi1
11.4187442864925,-41.70869049686486,-22.525087516631658,no,pi1
-39.33937427679172,-37.0475712568274,-17.5284281546553,no,pi1
41.66059679583442,-24.478479819403496,95.22222552916224,yes,pi1
-98.88765195812474,-38.55217419763158,-53.73526520618338,no,pi1
-133.0653339950659,-29.919988488149773,-16.853006153266865,no,pi1
-12.627314882083542,-24.15180558466504,73.13580180280138,no,pi1
-174.15412223586904,-11.834010129464716,74.34622135355043,no,pi1
-93.39139337240562,-17.975018379545947,73.7879586605994,no,pi1
1.819918880441762,-46.2068115571597,-54.378590833984376,no,pi1
134.3888530853285,-31.59447339412159,94.53153904189188,yes,pi1
-191.5165182465458,2.784581193264967,154.80679824712854,no,pi1
31.82943604689117,-14.233808399634167,153.182204616858,yes,pi1
-78.22762564845347,-34.093924581857024,-17.26735251818262,no,pi1
63.1506514946663,-29.93204684638576,72.58061871687163,no,pi1
-155.00271750693156,-28.20295139307183,-16.698586680317653,no,pi1
-107.23303518589306,-32.67004263897058,-21.69509373942305,yes,pi1
5.529188441813703,-40.46841287493671,-17.86315029889565,no,pi1
-150.23316460369253,-13.695130137788226,74.11034394704834,no,pi1
-139.0475477670544,-29.41911539336685,-16.80448363953012,no,pi1
-136.14888963305194,-30.464744127536004,-21.481856903543683,yes,pi1
-88.40704225144768,-18.38390823070074,73.67821199488081,no,pi1
-52.39363626713966,-36.82456710290803,-22.057509268307594,no,pi1
202.83297718323476,-23.103286491898917,177.5171219314042,yes,pi1
-35.97336908634736,-9.087189925567532,153.69583071006448,no,pi1
17.919234776105718,-4.471060522505515,206.6242680301279,yes,pi1
281.2457303471094,943.944444099718,0.8425440659157332,yes,pi1
40.69091582755347,972.1729504842112,0.9685083877147058,yes,pi1
-83.97378816265527,-14.943582291151458,96.11946559688012,yes,pi1
-134.7842359871808,-35.792900056895384,-53.47907620506698,no,pi1
104.11792625102797,955.4371150517863,-65.93827911906916,yes,pi1
-213.82807963986133,-23.73334525431359,-16.264328096335138,no,pi1
-76.23994757964827,-34.23534085689807,-17.319713242847534,no,pi1
-53.91874369905703,-7.682669871874199,153.81087126852492,yes,pi1
-221.0166926640607,-8.245419665492495,74.6812834757898,no,pi1
-208.93559013323795,-24.904214799469003,-20.92370934488347,no,pi1
-235.48863330624184,-28.11037862953498,-52.67020388839045,no,pi1
-119.19788478750856,-31.746481259246945,-21.570950187277543,no,pi1
-39.3394188864896,-37.04589913412122,-17.536493215379704,no,pi1
-142.75942840825297,-35.23164912628084,-53.3373652724297,no,pi1
-27.49693801539301,965.4276581284172,-64.99095008037605,no,pi1
-80.83927198719401,-5.567865009493017,154.0198030691684,no,pi1
-58.854733640903575,1.4501374853743283,207.08529255476088,no,pi1
-118.83098715937804,-37.03496533221076,-53.60428776364507,no,pi1
-139.66893411937332,-1.1855901279347123,154.45654680203876,yes,pi1
-134.06249971184752,-29.837059359225275,-16.846138509639044,no,pi1
-85.20543930331179,-33.55222736866786,-17.203485995984664,no,pi1
-149.73745682856924,-34.628278915090746,-53.35824709720215,no,pi1
-30.088955559400876,-43.764636790426266,-54.161903376919554,no,pi1
-164.42452397952536,2.166716354279182,163.33285471618194,no,pi1
