model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.86,0.06,3.28,pi3,0.0,0.858085808580858,0.8547854785478548,0.06,0.0,0.17207622528076172,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.85,0.05,2.64,pi1,0.0,0.8554913294797688,0.8587943848059455,0.06,0.04,0.17207622528076172,False
pi3,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.85,0.05,2.64,pi2,0.01,0.8467874794069192,0.8434925864909391,0.07,0.97,0.17207622528076172,False
pi2,"LogisticRegression(class_weight='balanced', max_iter=100000)",0.84,0.03,3.5,pi3,0.0,0.8481848184818482,0.8547854785478548,0.07,1.0,0.17207622528076172,False
pi1,LogisticRegression(max_iter=100000),0.89,0.07,2.07,pi2,0.01,0.8756476683937824,0.8704663212435233,0.81,0.0,0.7962508201599121,True
pi1,LogisticRegression(max_iter=100000),0.89,0.07,2.07,pi3,0.02,0.8610421836228288,0.8635235732009926,0.42,0.01,0.7962508201599121,True
pi2,LogisticRegression(max_iter=100000),0.87,0.03,2.5,pi1,0.02,0.8857142857142857,0.8857142857142857,0.81,0.13,0.7962508201599121,True
pi2,LogisticRegression(max_iter=100000),0.87,0.03,2.5,pi3,0.0,0.8684863523573201,0.8635235732009926,0.27,1.0,0.7962508201599121,True
pi3,LogisticRegression(max_iter=100000),0.86,0.02,1.99,pi1,0.03,0.8904761904761904,0.8857142857142857,0.42,0.11,0.7962508201599121,True
pi3,LogisticRegression(max_iter=100000),0.86,0.02,1.99,pi2,0.0,0.8652849740932642,0.8704663212435233,0.27,0.95,0.7962508201599121,True
pi4,LogisticRegression(max_iter=100000),0.7,0.04,1.9,pi5,0.01,0.7053669222343921,0.7042716319824753,0.28,0.1,0.7962508201599121,True
pi5,LogisticRegression(max_iter=100000),0.7,0.03,1.7,pi4,0.01,0.696969696969697,0.6990595611285266,0.28,0.0,0.7962508201599121,True
