model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.72,0.95,pi4,0.0,0.9525179856115108,0.9520383693045563,18.36,0.99,24.755457261029413,True
pi4,LogisticRegression(max_iter=100000),0.01,0.67,0.95,pi2,0.0,0.9543927028324531,0.9548727796447432,18.36,0.97,24.755457261029413,True
pi4,LogisticRegression(max_iter=100000),0.01,0.67,0.95,pi3,0.01,0.9419385796545106,0.944337811900192,11.94,0.98,24.755457261029413,True
pi3,LogisticRegression(max_iter=100000),0.01,0.71,0.94,pi4,0.01,0.9529976019184653,0.9520383693045563,11.94,0.98,24.755457261029413,True
pi2,LogisticRegression(max_iter=100000),0.01,0.51,0.97,pi4,0.0,0.9669685668620138,0.9669685668620138,21.71,0.98,26.03973858173077,False
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.97,pi2,0.0,0.9690501600853789,0.9690501600853789,21.71,0.97,26.03973858173077,False
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.97,pi3,0.01,0.9589333333333333,0.9589333333333333,25.65,0.98,26.03973858173077,False
pi3,LogisticRegression(max_iter=100000),0.02,0.56,0.96,pi4,0.01,0.9669685668620138,0.9669685668620138,25.65,0.97,26.03973858173077,False
pi3,LogisticRegression(max_iter=100000),0.02,0.56,0.96,pi5,0.0,0.961456102783726,0.9625267665952891,25.57,1.0,26.03973858173077,False
pi5,LogisticRegression(max_iter=100000),0.01,0.68,0.96,pi3,0.0,0.96,0.9589333333333333,25.57,0.97,26.03973858173077,False
