model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.98,0.06,3.01,pi3,0.0,0.9855222337125129,0.9855222337125129,38.92,0.99,38.298549107142854,False
pi1,LogisticRegression(max_iter=100000),0.98,0.06,3.01,pi6,0.01,0.9880952380952381,0.9880952380952381,39.65,0.0,38.298549107142854,False
pi1,LogisticRegression(max_iter=100000),0.98,0.06,3.01,pi7,0.0,0.9824016563146998,0.9824016563146998,38.59,0.0,38.298549107142854,False
pi3,LogisticRegression(max_iter=100000),0.99,0.06,3.13,pi1,0.0,0.9819027921406411,0.9819027921406411,38.92,0.98,38.298549107142854,False
pi3,LogisticRegression(max_iter=100000),0.99,0.06,3.13,pi4,0.0,0.9844800827728919,0.9844800827728919,33.12,0.0,38.298549107142854,False
pi3,LogisticRegression(max_iter=100000),0.99,0.06,3.13,pi5,0.0,0.9818840579710145,0.9818840579710145,38.74,0.0,38.298549107142854,False
pi3,LogisticRegression(max_iter=100000),0.99,0.06,3.13,pi6,0.0,0.9880952380952381,0.9880952380952381,34.26,0.0,38.298549107142854,False
pi3,LogisticRegression(max_iter=100000),0.99,0.06,3.13,pi7,0.0,0.9824016563146998,0.9824016563146998,31.86,0.0,38.298549107142854,False
pi3,LogisticRegression(max_iter=100000),0.99,0.06,3.13,pi8,0.32,0.6632177961717538,0.710812209001552,35.88,0.0,38.298549107142854,False
pi6,LogisticRegression(max_iter=100000),0.99,0.06,7.78,pi1,0.01,0.9819027921406411,0.9819027921406411,39.65,0.0,38.298549107142854,False
pi6,LogisticRegression(max_iter=100000),0.99,0.06,7.78,pi3,0.0,0.9855222337125129,0.9855222337125129,34.26,0.0,38.298549107142854,False
pi6,LogisticRegression(max_iter=100000),0.99,0.06,7.78,pi4,0.0,0.9844800827728919,0.9844800827728919,35.48,0.99,38.298549107142854,False
pi6,LogisticRegression(max_iter=100000),0.99,0.06,7.78,pi7,0.01,0.9824016563146998,0.9824016563146998,32.22,0.99,38.298549107142854,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.82,pi1,0.0,0.9819027921406411,0.9819027921406411,38.59,0.0,38.298549107142854,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.82,pi3,0.0,0.9855222337125129,0.9855222337125129,31.86,0.0,38.298549107142854,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.82,pi4,0.0,0.9844800827728919,0.9844800827728919,33.93,0.99,38.298549107142854,False
pi7,LogisticRegression(max_iter=100000),0.98,0.06,2.82,pi6,0.01,0.9880952380952381,0.9880952380952381,32.22,0.98,38.298549107142854,False
