model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.85,pi3,0.0,0.983971044467425,0.983971044467425,38.13,0.99,44.84416118421053,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.85,pi6,0.01,0.9865494050698397,0.9865494050698397,43.09,0.0,44.84416118421053,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.85,pi7,0.0,0.9824107604759441,0.9824107604759441,39.61,0.0,44.84416118421053,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.85,pi8,0.32,0.6645962732919255,0.6858178053830227,41.24,0.0,44.84416118421053,False
pi3,LogisticRegression(max_iter=100000),0.98,0.14,6.86,pi1,0.0,0.9803617571059432,0.9803617571059432,38.13,0.99,44.84416118421053,False
pi3,LogisticRegression(max_iter=100000),0.98,0.14,6.86,pi6,0.0,0.9865494050698397,0.9865494050698397,39.66,0.0,44.84416118421053,False
pi3,LogisticRegression(max_iter=100000),0.98,0.14,6.86,pi7,0.0,0.9824107604759441,0.9824107604759441,33.4,0.0,44.84416118421053,False
pi3,LogisticRegression(max_iter=100000),0.98,0.14,6.86,pi8,0.39,0.5910973084886129,0.6858178053830227,32.77,0.0,44.84416118421053,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,6.6,pi1,0.01,0.9803617571059432,0.9803617571059432,43.09,0.0,44.84416118421053,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,6.6,pi3,0.0,0.983971044467425,0.983971044467425,39.66,0.0,44.84416118421053,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,6.6,pi4,0.0,0.9886539453326457,0.9886539453326457,39.87,1.0,44.84416118421053,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,6.6,pi7,0.0,0.9824107604759441,0.9824107604759441,34.35,0.99,44.84416118421053,False
pi6,LogisticRegression(max_iter=100000),0.99,0.08,6.6,pi8,0.42,0.5683229813664596,0.6858178053830227,36.66,0.98,44.84416118421053,False
pi7,LogisticRegression(max_iter=100000),0.98,0.11,4.75,pi1,0.0,0.9803617571059432,0.9803617571059432,39.61,0.0,44.84416118421053,False
pi7,LogisticRegression(max_iter=100000),0.98,0.11,4.75,pi3,0.0,0.983971044467425,0.983971044467425,33.4,0.0,44.84416118421053,False
pi7,LogisticRegression(max_iter=100000),0.98,0.11,4.75,pi4,0.01,0.9886539453326457,0.9886539453326457,42.09,0.99,44.84416118421053,False
pi7,LogisticRegression(max_iter=100000),0.98,0.11,4.75,pi6,0.0,0.9865494050698397,0.9865494050698397,34.35,0.99,44.84416118421053,False
pi7,LogisticRegression(max_iter=100000),0.98,0.11,4.75,pi8,0.32,0.6583850931677019,0.6858178053830227,32.57,0.98,44.84416118421053,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.03,109.76,pi1,0.29,0.9803617571059432,0.9803617571059432,41.24,0.0,44.84416118421053,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.03,109.76,pi3,0.3,0.983971044467425,0.983971044467425,32.77,0.0,44.84416118421053,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.03,109.76,pi4,0.3,0.9886539453326457,0.9886539453326457,42.54,0.99,44.84416118421053,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.03,109.76,pi6,0.3,0.9865494050698397,0.9865494050698397,36.66,0.98,44.84416118421053,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.03,109.76,pi7,0.3,0.9824107604759441,0.9824107604759441,32.57,0.99,44.84416118421053,False
pi4,LogisticRegression(max_iter=100000),0.99,0.06,6.28,pi5,0.0,0.9839544513457557,0.9839544513457557,41.09,0.98,44.84416118421053,False
pi4,LogisticRegression(max_iter=100000),0.99,0.06,6.28,pi6,0.0,0.9865494050698397,0.9865494050698397,39.87,0.98,44.84416118421053,False
pi4,LogisticRegression(max_iter=100000),0.99,0.06,6.28,pi7,0.01,0.9824107604759441,0.9824107604759441,42.09,0.99,44.84416118421053,False
pi4,LogisticRegression(max_iter=100000),0.99,0.06,6.28,pi8,0.35,0.6361283643892339,0.6858178053830227,42.54,0.98,44.84416118421053,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.2,pi4,0.0,0.9886539453326457,0.9886539453326457,41.09,0.99,44.84416118421053,False
pi1,LogisticRegression(max_iter=100000),0.82,0.02,0.84,pi3,0.11,0.9230769230769231,0.9230769230769231,594.45,0.99,1456.462131076389,True
pi1,LogisticRegression(max_iter=100000),0.82,0.02,0.84,pi4,0.08,0.8974358974358975,0.8974358974358975,892.91,0.0,1456.462131076389,True
pi1,LogisticRegression(max_iter=100000),0.82,0.02,0.84,pi5,0.12,0.6964285714285714,0.6964285714285714,981.67,0.0,1456.462131076389,True
pi1,LogisticRegression(max_iter=100000),0.82,0.02,0.84,pi6,0.03,0.7872340425531915,0.7872340425531915,1256.96,0.0,1456.462131076389,True
pi1,LogisticRegression(max_iter=100000),0.82,0.02,0.84,pi8,0.3,0.5203761755485894,0.6890282131661442,662.07,0.0,1456.462131076389,True
pi3,LogisticRegression(max_iter=100000),0.92,0.02,0.84,pi1,0.11,0.8169014084507042,0.8169014084507042,594.45,0.97,1456.462131076389,True
pi3,LogisticRegression(max_iter=100000),0.92,0.02,0.84,pi4,0.03,0.8974358974358975,0.8974358974358975,834.28,0.0,1456.462131076389,True
pi3,LogisticRegression(max_iter=100000),0.92,0.02,0.84,pi5,0.23,0.6964285714285714,0.6964285714285714,1263.83,0.0,1456.462131076389,True
pi3,LogisticRegression(max_iter=100000),0.92,0.02,0.84,pi6,0.14,0.7872340425531915,0.7872340425531915,942.12,0.0,1456.462131076389,True
pi3,LogisticRegression(max_iter=100000),0.92,0.02,0.84,pi7,0.08,0.8387096774193549,0.8548387096774194,1389.34,0.0,1456.462131076389,True
pi3,LogisticRegression(max_iter=100000),0.92,0.02,0.84,pi8,0.4,0.5203761755485894,0.6890282131661442,971.5,0.0,1456.462131076389,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.97,pi1,0.08,0.8169014084507042,0.8169014084507042,892.91,0.0,1456.462131076389,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.97,pi3,0.03,0.9230769230769231,0.9230769230769231,834.28,0.0,1456.462131076389,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.97,pi6,0.11,0.7872340425531915,0.7872340425531915,1042.23,0.64,1456.462131076389,True
pi4,LogisticRegression(max_iter=100000),0.9,0.02,0.97,pi8,0.38,0.5172413793103449,0.6890282131661442,1025.27,0.83,1456.462131076389,True
pi5,LogisticRegression(max_iter=100000),0.7,0.01,0.74,pi1,0.12,0.8169014084507042,0.8169014084507042,981.67,0.0,1456.462131076389,True
pi5,LogisticRegression(max_iter=100000),0.7,0.01,0.74,pi3,0.23,0.9230769230769231,0.9230769230769231,1263.83,0.0,1456.462131076389,True
pi5,LogisticRegression(max_iter=100000),0.7,0.01,0.74,pi8,0.32,0.3811912225705329,0.6890282131661442,1187.04,0.77,1456.462131076389,True
pi6,LogisticRegression(max_iter=100000),0.79,0.02,0.81,pi1,0.03,0.8169014084507042,0.8169014084507042,1256.96,0.0,1456.462131076389,True
pi6,LogisticRegression(max_iter=100000),0.79,0.02,0.81,pi3,0.14,0.9230769230769231,0.9230769230769231,942.12,0.0,1456.462131076389,True
pi6,LogisticRegression(max_iter=100000),0.79,0.02,0.81,pi4,0.11,0.8974358974358975,0.8974358974358975,1042.23,0.89,1456.462131076389,True
pi6,LogisticRegression(max_iter=100000),0.79,0.02,0.81,pi8,0.27,0.5172413793103449,0.6890282131661442,888.49,0.81,1456.462131076389,True
