model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.38,pi3,0.0,0.9824016563146998,0.9824016563146998,37.91,0.99,42.60478515625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.38,pi5,0.0,0.9808389435525634,0.9808389435525634,43.86,0.0,42.60478515625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.38,pi7,0.0,0.9787674779906784,0.9787674779906784,44.3,0.0,42.60478515625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.08,3.38,pi8,0.32,0.6594315245478036,0.6976744186046512,40.13,0.0,42.60478515625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.08,3.5,pi1,0.0,0.9819027921406411,0.9819027921406411,37.91,0.97,42.60478515625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.08,3.5,pi4,0.0,0.9865563598759048,0.9865563598759048,42.84,0.0,42.60478515625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.08,3.5,pi5,0.0,0.9808389435525634,0.9808389435525634,34.01,0.0,42.60478515625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.08,3.5,pi7,0.0,0.9787674779906784,0.9787674779906784,34.25,0.0,42.60478515625,False
pi3,LogisticRegression(max_iter=100000),0.98,0.08,3.5,pi8,0.34,0.6470284237726098,0.6976744186046512,33.46,0.0,42.60478515625,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.25,pi1,0.0,0.9819027921406411,0.9819027921406411,43.86,0.0,42.60478515625,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.25,pi3,0.0,0.9824016563146998,0.9824016563146998,34.01,0.0,42.60478515625,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.25,pi4,0.01,0.9865563598759048,0.9865563598759048,38.91,0.99,42.60478515625,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.25,pi7,0.0,0.9787674779906784,0.9787674779906784,33.63,0.99,42.60478515625,False
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.25,pi8,0.3,0.6770025839793282,0.6976744186046512,34.72,0.98,42.60478515625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.05,3.29,pi1,0.0,0.9819027921406411,0.9819027921406411,44.3,0.0,42.60478515625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.05,3.29,pi3,0.0,0.9824016563146998,0.9824016563146998,34.25,0.0,42.60478515625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.05,3.29,pi4,0.01,0.9865563598759048,0.9865563598759048,36.25,0.99,42.60478515625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.05,3.29,pi5,0.0,0.9808389435525634,0.9808389435525634,33.63,0.98,42.60478515625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.05,3.29,pi8,0.33,0.6496124031007752,0.6976744186046512,33.27,0.98,42.60478515625,False
pi8,"LogisticRegression(C=10, max_iter=100000, solver='liblinear')",0.7,0.03,142.02,pi1,0.28,0.9819027921406411,0.9819027921406411,40.13,0.0,42.60478515625,False
