humidity,temperature,experiment,pi
0.2166645983638689,-0.12966321699024771,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
-0.7763274635420104,0.7836427527985279,1,pi2
1.4804726771531698,-1.6518398333048736,1,pi2
1.570744682780977,-1.6518398333048736,1,pi2
2.3831927334312417,-2.260710479830724,1,pi2
1.4804726771531698,-1.499622171673411,1,pi2
1.4804726771531698,-1.6518398333048736,1,pi2
1.9318327052922057,-1.956275156567799,1,pi2
-0.41523944103078153,0.4792074295356027,1,pi2
-0.7763274635420104,0.6314250911670652,1,pi2
-0.8665994691698176,0.7836427527985279,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
-0.7763274635420104,0.7836427527985279,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
-0.6860554579142032,0.7836427527985279,1,pi2
0.9388406433863266,-0.8907515251475607,1,pi2
-0.9568714747976248,0.9358604144299905,1,pi2
2.2929207278034345,-2.1084928181992617,1,pi2
0.03612058710825447,0.022554444641214876,1,pi2
-0.6860554579142032,0.4792074295356027,1,pi2
-0.8665994691698176,0.7836427527985279,1,pi2
0.9388406433863266,-0.7385338635160981,1,pi2
-0.9568714747976248,0.9358604144299905,1,pi2
0.12639259273606168,-0.12966321699024771,1,pi2
0.12639259273606168,-0.12966321699024771,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
0.12639259273606168,-0.12966321699024771,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
-0.6860554579142032,0.7836427527985279,1,pi2
-0.595783452286396,0.7836427527985279,1,pi2
-0.8665994691698176,0.7836427527985279,1,pi2
-0.595783452286396,0.4792074295356027,1,pi2
0.03612058710825447,0.022554444641214876,1,pi2
0.12639259273606168,-0.12966321699024771,1,pi2
-0.14442342414735995,0.3269897679041401,1,pi2
-0.9568714747976248,0.7836427527985279,1,pi2
1.209656660269748,-1.3474045100419485,1,pi2
1.2999286658975553,-1.195186848410486,1,pi2
1.209656660269748,-1.195186848410486,1,pi2
-0.14442342414735995,0.3269897679041401,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
0.03612058710825447,0.022554444641214876,1,pi2
0.5777526208750977,-0.4340985402531729,1,pi2
0.9388406433863266,-0.7385338635160981,1,pi2
-0.595783452286396,0.4792074295356027,1,pi2
-0.5055114466585887,0.4792074295356027,1,pi2
-0.7763274635420104,0.7836427527985279,1,pi2
-0.7763274635420104,0.6314250911670652,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
-0.7763274635420104,0.7836427527985279,1,pi2
-1.047143480425432,1.2402957376929156,1,pi2
0.3972086096194833,-0.2818808786217103,1,pi2
-1.1374154860532393,1.088078076061453,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
1.4804726771531698,-1.6518398333048736,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
0.12639259273606168,-0.12966321699024771,1,pi2
1.2999286658975553,-1.195186848410486,1,pi2
-0.054151418519552734,0.022554444641214876,1,pi2
-0.7763274635420104,0.6314250911670652,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
0.03612058710825447,0.022554444641214876,1,pi2
2.022104710920013,-1.956275156567799,1,pi2
0.5777526208750977,-0.4340985402531729,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
1.9318327052922057,-1.8040574949363364,1,pi2
0.7582966321307121,-0.4340985402531729,1,pi2
1.119384654641941,-1.0429691867790234,1,pi2
-0.054151418519552734,0.022554444641214876,1,pi2
0.9388406433863266,-0.7385338635160981,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
1.209656660269748,-1.3474045100419485,1,pi2
1.4804726771531698,-1.6518398333048736,1,pi2
-0.595783452286396,0.6314250911670652,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
0.12639259273606168,-0.12966321699024771,1,pi2
0.2166645983638689,-0.2818808786217103,1,pi2
1.4804726771531698,-1.6518398333048736,1,pi2
2.3831927334312417,-2.412928141462187,1,pi2
-0.7763274635420104,0.7836427527985279,1,pi2
-0.14442342414735995,0.17477210627267747,1,pi2
0.3069366039916761,-0.4340985402531729,1,pi2
1.2999286658975553,-1.195186848410486,1,pi2
-0.595783452286396,0.4792074295356027,1,pi2
-0.054151418519552734,0.022554444641214876,1,pi2
-1.1374154860532393,0.9358604144299905,1,pi2
-0.8665994691698176,0.7836427527985279,1,pi2
1.4804726771531698,-1.499622171673411,1,pi2
-0.7763274635420104,0.7836427527985279,1,pi2
0.2166645983638689,-0.12966321699024771,1,pi2
2.022104710920013,-1.956275156567799,1,pi2
-0.054151418519552734,-0.12966321699024771,1,pi2
-0.7763274635420104,0.6314250911670652,1,pi2
-0.6860554579142032,0.7836427527985279,1,pi2
1.2999286658975553,-1.195186848410486,1,pi2
-0.8665994691698176,0.9358604144299905,1,pi2
0.668024626502905,-0.4340985402531729,1,pi2
0.03612058710825447,0.022554444641214876,1,pi2
-0.8665994691698176,0.7836427527985279,1,pi2
-0.14442342414735995,0.17477210627267747,1,pi2
-1.1374154860532393,1.088078076061453,1,pi2
2.2929207278034345,-2.260710479830724,1,pi2
0.5777526208750977,-0.4340985402531729,1,pi2
-0.6860554579142032,0.6314250911670652,1,pi2
2.11237671654782,-2.1084928181992617,1,pi2
