model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.99,0.07,4.44,pi3,0.0,0.9896551724137931,0.9896551724137931,45.14,0.98,54.969777960526315,False
pi1,LogisticRegression(max_iter=100000),0.99,0.07,4.44,pi6,0.0,0.9890804597701149,0.9890804597701149,48.73,0.0,54.969777960526315,False
pi1,LogisticRegression(max_iter=100000),0.99,0.07,4.44,pi7,0.0,0.9862148190695003,0.9862148190695003,42.29,0.0,54.969777960526315,False
pi1,LogisticRegression(max_iter=100000),0.99,0.07,4.44,pi8,0.34,0.648073605520414,0.6929269695227142,55.5,0.0,54.969777960526315,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,8.98,pi1,0.0,0.987363584147042,0.987363584147042,45.14,0.98,54.969777960526315,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,8.98,pi4,0.0,0.9908045977011494,0.9908045977011494,43.16,0.0,54.969777960526315,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,8.98,pi7,0.0,0.9862148190695003,0.9862148190695003,38.09,0.0,54.969777960526315,False
pi3,LogisticRegression(max_iter=100000),0.99,0.08,8.98,pi8,0.41,0.5825186889016676,0.6929269695227142,57.24,0.0,54.969777960526315,False
pi6,LogisticRegression(max_iter=100000),0.99,0.3,16.86,pi1,0.0,0.987363584147042,0.987363584147042,48.73,0.0,54.969777960526315,False
pi6,LogisticRegression(max_iter=100000),0.99,0.3,16.86,pi7,0.0,0.9862148190695003,0.9862148190695003,49.45,0.98,54.969777960526315,False
pi6,LogisticRegression(max_iter=100000),0.99,0.3,16.86,pi8,0.43,0.5635422656699253,0.6929269695227142,37.68,0.97,54.969777960526315,False
pi7,LogisticRegression(max_iter=100000),0.99,0.06,3.52,pi1,0.0,0.987363584147042,0.987363584147042,42.29,0.0,54.969777960526315,False
pi7,LogisticRegression(max_iter=100000),0.99,0.06,3.52,pi3,0.0,0.9896551724137931,0.9896551724137931,38.09,0.0,54.969777960526315,False
pi7,LogisticRegression(max_iter=100000),0.99,0.06,3.52,pi4,0.0,0.9908045977011494,0.9908045977011494,44.82,0.99,54.969777960526315,False
pi7,LogisticRegression(max_iter=100000),0.99,0.06,3.52,pi6,0.0,0.9890804597701149,0.9890804597701149,49.45,0.98,54.969777960526315,False
pi7,LogisticRegression(max_iter=100000),0.99,0.06,3.52,pi8,0.34,0.6474985623921794,0.6929269695227142,49.91,0.99,54.969777960526315,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.06,36.78,pi1,0.29,0.987363584147042,0.987363584147042,55.5,0.0,54.969777960526315,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.06,36.78,pi3,0.3,0.9896551724137931,0.9896551724137931,57.24,0.0,54.969777960526315,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.06,36.78,pi6,0.3,0.9890804597701149,0.9890804597701149,37.68,0.98,54.969777960526315,False
pi8,"LogisticRegression(C=0.1, max_iter=100000, solver='liblinear')",0.69,0.06,36.78,pi7,0.29,0.9862148190695003,0.9862148190695003,49.91,0.99,54.969777960526315,False
pi4,LogisticRegression(max_iter=100000),0.99,0.4,17.23,pi3,0.0,0.9896551724137931,0.9896551724137931,43.16,0.0,54.969777960526315,False
pi4,LogisticRegression(max_iter=100000),0.99,0.4,17.23,pi5,0.0,0.9867816091954023,0.9867816091954023,43.58,0.97,54.969777960526315,False
pi4,LogisticRegression(max_iter=100000),0.99,0.4,17.23,pi7,0.0,0.9862148190695003,0.9862148190695003,44.82,0.98,54.969777960526315,False
pi5,LogisticRegression(max_iter=100000),0.99,0.1,12.6,pi4,0.0,0.9908045977011494,0.9908045977011494,43.58,1.0,54.969777960526315,False
pi1,LogisticRegression(max_iter=100000),0.9,0.03,2.43,pi3,0.11,0.7941176470588235,0.8235294117647058,1396.66,0.99,2714.3319227430557,True
pi1,LogisticRegression(max_iter=100000),0.9,0.03,2.43,pi4,0.03,0.9310344827586207,0.8620689655172413,1732.84,0.0,2714.3319227430557,True
pi1,LogisticRegression(max_iter=100000),0.9,0.03,2.43,pi6,0.04,0.8611111111111112,0.9166666666666666,2273.36,0.0,2714.3319227430557,True
pi1,LogisticRegression(max_iter=100000),0.9,0.03,2.43,pi7,0.07,0.8333333333333334,0.8333333333333334,2712.83,0.0,2714.3319227430557,True
pi1,LogisticRegression(max_iter=100000),0.9,0.03,2.43,pi8,0.52,0.375,0.6854166666666667,1265.26,0.0,2714.3319227430557,True
pi3,LogisticRegression(max_iter=100000),0.82,0.02,1.87,pi1,0.05,0.875,0.9,1396.66,0.96,2714.3319227430557,True
pi3,LogisticRegression(max_iter=100000),0.82,0.02,1.87,pi4,0.04,0.8620689655172413,0.8620689655172413,2270.08,0.0,2714.3319227430557,True
pi3,LogisticRegression(max_iter=100000),0.82,0.02,1.87,pi8,0.31,0.5152777777777777,0.6854166666666667,1333.81,0.0,2714.3319227430557,True
pi4,LogisticRegression(max_iter=100000),0.86,0.03,1.61,pi1,0.04,0.9,0.9,1732.84,0.0,2714.3319227430557,True
pi4,LogisticRegression(max_iter=100000),0.86,0.03,1.61,pi3,0.07,0.7941176470588235,0.8235294117647058,2270.08,0.0,2714.3319227430557,True
pi4,LogisticRegression(max_iter=100000),0.86,0.03,1.61,pi6,0.03,0.8888888888888888,0.9166666666666666,2734.66,0.83,2714.3319227430557,True
pi4,LogisticRegression(max_iter=100000),0.86,0.03,1.61,pi7,0.0,0.8571428571428571,0.8333333333333334,2059.41,0.97,2714.3319227430557,True
pi4,LogisticRegression(max_iter=100000),0.86,0.03,1.61,pi8,0.49,0.375,0.6854166666666667,2177.95,0.89,2714.3319227430557,True
pi6,LogisticRegression(max_iter=100000),0.92,0.02,2.03,pi1,0.04,0.875,0.9,2273.36,0.0,2714.3319227430557,True
pi6,LogisticRegression(max_iter=100000),0.92,0.02,2.03,pi4,0.05,0.8620689655172413,0.8620689655172413,2734.66,0.83,2714.3319227430557,True
pi6,LogisticRegression(max_iter=100000),0.92,0.02,2.03,pi8,0.4,0.5166666666666667,0.6854166666666667,1830.07,1.0,2714.3319227430557,True
pi7,LogisticRegression(max_iter=100000),0.83,0.03,1.7,pi1,0.07,0.9,0.9,2712.83,0.0,2714.3319227430557,True
pi7,LogisticRegression(max_iter=100000),0.83,0.03,1.7,pi4,0.06,0.896551724137931,0.8620689655172413,2059.41,0.97,2714.3319227430557,True
pi7,LogisticRegression(max_iter=100000),0.83,0.03,1.7,pi5,0.16,0.675,0.725,2476.15,0.94,2714.3319227430557,True
pi7,LogisticRegression(max_iter=100000),0.83,0.03,1.7,pi8,0.46,0.375,0.6854166666666667,2520.24,0.92,2714.3319227430557,True
pi8,LogisticRegression(max_iter=100000),0.69,0.17,7.58,pi1,0.21,0.475,0.9,1265.26,0.0,2714.3319227430557,True
pi8,LogisticRegression(max_iter=100000),0.69,0.17,7.58,pi3,0.19,0.5,0.8235294117647058,1333.81,0.0,2714.3319227430557,True
pi8,LogisticRegression(max_iter=100000),0.69,0.17,7.58,pi4,0.2,0.4827586206896552,0.8620689655172413,2177.95,0.85,2714.3319227430557,True
pi8,LogisticRegression(max_iter=100000),0.69,0.17,7.58,pi6,0.21,0.4722222222222222,0.9166666666666666,1830.07,0.86,2714.3319227430557,True
pi8,LogisticRegression(max_iter=100000),0.69,0.17,7.58,pi7,0.19,0.5,0.8333333333333334,2520.24,0.85,2714.3319227430557,True
pi2,LogisticRegression(max_iter=100000),0.76,0.03,0.93,pi10,0.18,0.5807860262008734,0.6965065502183406,737.38,0.0,2714.3319227430557,True
pi10,LogisticRegression(max_iter=100000),0.7,0.02,1.76,pi2,0.2,0.4915254237288136,0.7627118644067796,737.38,0.55,2714.3319227430557,True
pi5,LogisticRegression(max_iter=100000),0.72,0.03,0.99,pi7,0.13,0.8571428571428571,0.8333333333333334,2476.15,0.95,2714.3319227430557,True
