model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.75,0.96,pi3,0.01,0.951126018207954,0.953042644944897,36.82,0.99,36.20472547743056,True
pi2,LogisticRegression(max_iter=100000),0.01,0.75,0.96,pi4,0.01,0.9511494252873564,0.9516283524904214,19.98,0.99,36.20472547743056,True
pi2,LogisticRegression(max_iter=100000),0.01,0.75,0.96,pi5,0.02,0.9386385426653883,0.9419942473633749,25.42,0.98,36.20472547743056,True
pi3,"LogisticRegression(C=0.01, max_iter=100000)",0.01,0.58,0.95,pi2,0.0,0.9572936660268714,0.9572936660268714,36.82,0.99,36.20472547743056,True
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.95,pi2,0.0,0.9558541266794626,0.9572936660268714,19.98,0.99,36.20472547743056,True
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.95,pi5,0.01,0.9386385426653883,0.9419942473633749,24.57,0.98,36.20472547743056,True
pi5,LogisticRegression(max_iter=100000),0.01,0.62,0.94,pi2,0.02,0.9572936660268714,0.9572936660268714,25.42,0.97,36.20472547743056,True
pi5,LogisticRegression(max_iter=100000),0.01,0.62,0.94,pi4,0.01,0.9497126436781609,0.9516283524904214,24.57,0.97,36.20472547743056,True
pi2,LogisticRegression(max_iter=100000),0.01,0.66,0.97,pi4,0.01,0.9633173843700159,0.9633173843700159,28.73,0.98,34.574916294642854,False
pi2,LogisticRegression(max_iter=100000),0.01,0.66,0.97,pi5,0.01,0.9600638977635783,0.9595314164004259,25.03,0.97,34.574916294642854,False
pi4,LogisticRegression(max_iter=100000),0.01,0.67,0.96,pi2,0.01,0.9696808510638298,0.9707446808510638,28.73,0.99,34.574916294642854,False
pi4,LogisticRegression(max_iter=100000),0.01,0.67,0.96,pi5,0.01,0.95580404685836,0.9595314164004259,26.53,0.97,34.574916294642854,False
pi5,LogisticRegression(max_iter=100000),0.01,0.55,0.96,pi2,0.01,0.9707446808510638,0.9707446808510638,25.03,0.96,34.574916294642854,False
pi5,LogisticRegression(max_iter=100000),0.01,0.55,0.96,pi4,0.0,0.9633173843700159,0.9633173843700159,26.53,0.97,34.574916294642854,False
